chain,date,fees_eth,tvl_usd,dex_vol_btc,dex_vol_eth,dex_vol_stable,borrow_vol_usd,stablecoin_supply,eth_open,eth_high,eth_low,total_dex_vol,dex_btc_share,dex_eth_share,eth_volatility,log_tvl,log_fees,log_total_dex_vol,log_borrow_vol,log_stablecoin_supply,d_log_tvl,d_log_fees,d_log_total_dex_vol,d_log_borrow_vol,d_log_stablecoin_supply,d_dex_btc_share,d_dex_eth_share
arbitrum,2025-01-02,7.503666415,2999994766,56073892.45,257679132.7,264202771.61,14729016.5655,3907355212.0,3372.751299,3471.640783,3372.751299,577955796.76,0.09702107456028347,0.445845744855472,0.02932012331573927,21.821876380946332,2.0153918896929333,20.175007947518427,16.50533002215711,22.08612656570263,0.019607334799580656,0.4612171703294692,0.709970767083842,0.2476971686756535,-0.008347313469798223,0.0015049771372389331,0.014133298814115625
arbitrum,2025-01-03,8.117290738,3053396009,49166872.99,242405357.6,240459022.14,16807139.9703,3868310631.0,3451.988792,3613.782353,3433.130554,532031252.72999996,0.09241350529261418,0.455622402549006,0.05233267252160887,21.83952025371873,2.0939965687371953,20.09221279131354,16.63731435231952,22.076083719224016,0.01764387277239976,0.07860467904426205,-0.08279515620488809,0.1319843301624104,-0.01004284647861553,-0.004607569267669295,0.009776657693533974
arbitrum,2025-01-04,5.080064565,3137188941,34358114.7,193001046.7,167179303.88,12318775.9936,3839528121.0,3606.967894,3659.712804,3583.368377,394538465.28,0.087084321868633,0.48918182556174616,0.0211658182838264,21.86659299417863,1.6253241680031654,19.793227197375337,16.326635159965242,22.068615310838798,0.027072740459900047,-0.46867240073402994,-0.2989855939382018,-0.31067919235427865,-0.007468408385218339,-0.005329183423981171,0.033559423012740175
arbitrum,2025-01-05,3.765239785,3171397240,25397296.13,136428647.0,129811241.61,4845431.3947,3858900961.0,3659.359159,3659.359159,3610.825572,291637184.74,0.0870852465286351,0.4678026470514337,0.013262865133266329,21.877438097441253,1.325811812726174,19.491021069653335,15.393546838497226,22.07364825475172,0.010845103262621336,-0.2995123552769914,-0.30220612772200184,-0.9330883214680163,0.00503294391292286,9.246600020940132e-07,-0.021379178510312458
arbitrum,2025-01-06,17.82575375,3176876097,67402623.32,276215760.8,280429798.01,23213300.889,3765397557.0,3636.703526,3720.16866,3624.947376,624048182.13,0.10800868466588828,0.4426192859936246,0.026183405746229023,21.879164191473272,2.880644307619942,20.251738138304706,16.960235986535828,22.049119285452424,0.0017260940320191764,1.5548324948937682,0.7607170686513705,1.566689148038602,-0.024528969299296932,0.020923438137253184,-0.025183361057809106
arbitrum,2025-01-07,33.99795148,3229514377,67402623.32,276215760.8,280429798.01,10890557.831999999,3616411421.0,3684.077738,3691.31909,3380.530957,624048182.13,0.0,0.0,0.0843598194995526,21.895597615199613,3.526300301626323,20.251738138304706,16.20340671783974,22.00874805093554,0.01643342372634038,0.6456559940063809,0.0,-0.7568292686960874,-0.04037123451688274,-0.10800868466588828,-0.4426192859936246
arbitrum,2025-01-08,18.62885425,3009913231,67402623.32,276215760.8,280429798.01,24814391.739,3559180892.0,3397.120237,3397.120237,3265.798145,624048182.13,0.0,0.0,0.03865688666821241,21.825177088381395,2.924711736134059,20.251738138304706,17.026934354875774,21.992796268819532,-0.07042052681821787,-0.6015885654922641,0.0,0.8235276370360332,-0.015951782116008673,0.0,0.0
arbitrum,2025-01-09,14.2205608,2940892198,86467678.53,337880923.8,382850657.0,16088319.8992,3453908785.0,3327.607255,3347.51484,3188.91346,807199259.33,0.10712061183228885,0.41858428373739026,0.04766228940079637,21.80197884096717,2.654688931330268,20.509081109423967,16.59360409457315,21.962772407810316,-0.023198247414224937,-0.2700228048037907,0.25734297111926097,-0.43333026030262545,-0.030023861009215835,0.10712061183228885,0.41858428373739026
arbitrum,2025-01-10,13.62762208,2867890986,94372192.0,331168812.7,375094753.9,15805200.6474,3382746023.0,3225.027671,3308.631339,3225.027671,800635758.5999999,0.11787156767144676,0.41363230300765635,0.02592339555774317,21.776842748501117,2.612098841652809,20.500916668276744,16.575849598736404,21.941953649436655,-0.025136092466052418,-0.042590089677459364,-0.00816444114722259,-0.017754495836744155,-0.020818758373660984,0.010750955839157902,-0.004951980729733907
arbitrum,2025-01-11,3.36562511,2942174424,29566761.43,119613013.2,135369155.89,5079924.0169,3249836126.0,3265.213326,3310.819506,3232.426167,284548930.52,0.10390747691782962,0.4203600870381511,0.024008642368256627,21.802414744927702,1.213614011167576,19.466415784510477,15.44080686213985,21.901870409247557,0.02557199642658503,-1.3984848304852329,-1.0345008837662668,-1.1350427365965547,-0.040083240189098035,-0.01396409075361714,0.006727784030494732
arbitrum,2025-01-12,3.237279055,2953204409,25400912.43,105358654.2,113865702.83,4195532.38372,3293192729.0,3285.716103,3290.733668,3239.968973,244625269.45999998,0.10383601206069777,0.43069407519744307,0.015450116019959697,21.806156658104964,1.174733488038319,19.31523808520265,15.249530798942248,21.9151233655032,0.00374191317726158,-0.03888052312925705,-0.15117769930782643,-0.19127606319760204,0.01325295625564138,-7.146485713184492e-05,0.010333988159291985
arbitrum,2025-01-13,43.80585023,2938342188,99715110.6,390629667.3,446245639.8,28471023.96,3211119760.0,3299.195098,3299.195098,3006.821846,936590417.7,0.10646608027965092,0.4170763013562273,0.08861957032405857,21.80111137762331,3.779767398186115,20.657756623719678,17.164397424887778,21.889885548150556,-0.005045280481652981,2.605033910147796,1.3425185385170266,1.91486662594553,-0.025237817352643077,0.0026300682189531466,-0.013617773841215763
arbitrum,2025-01-14,8.69803865,2863174885,66348883.49,241336586.7,265029400.87,14074140.6074,3129165071.0,3133.342438,3232.170151,3133.342438,572714871.06,0.11584976546391969,0.42139046652189444,0.03154066781895726,21.775196945723525,2.1630976726842563,20.16589854360632,16.45984967203717,21.864032055435004,-0.025914431899785484,-1.6166697255018585,-0.4918580801133565,-0.7045477528506083,-0.025853492715551596,0.00938368518426877,0.004314165165667128
arbitrum,2025-01-15,20.34380923,2897146307,71641158.02,311327750.5,305038486.46000004,21692526.7536,3000597746.0,3226.523937,3448.855822,3196.397636,688007394.98,0.10412847091866297,0.45250640148867893,0.07824463445163024,21.786992057392464,3.0127767000188994,20.349310144357297,16.89247836996012,21.82207735443381,0.011795111668938318,0.8496790273346431,0.18341160075097562,0.4326286979229508,-0.04195470100119536,-0.011721294545256722,0.031115934966784498
