sim_id,ending_log_tvl,ending_tvl_usd,cumulative_fees_eth,mean_daily_fees,cum_d_log_tvl,cum_d_log_dex_vol_btc,cum_d_log_dex_vol_eth,cum_d_log_dex_vol_stable,cum_d_log_n_tx,tvl_bucket
0,19.528631546580637,302814676.1793222,373.8704761159679,1.024302674290323,0.03762067026102618,-2.229357283114322,-2.765783738960796,2.281879208203075,-0.11275704216620357,<$400M
1,19.38440548564704,262144250.7633708,353.807077745089,0.9693344595755863,-0.10660539067257005,-0.3658709321244561,-1.2900199466830857,-6.4806663972082745,0.0959103533256189,<$400M
2,19.666253159495497,347492333.02749604,309.5621302268003,0.8481154252789049,0.17524228317588716,-2.3821319689286646,0.400976438892121,-0.02291849134947921,-0.7878499037713839,<$400M
3,20.378581511261878,708443955.7339698,314.0580867587843,0.8604331144076283,0.8875706349422637,-1.411235528543429,-2.053076733295108,-6.962213435517427,1.5705136840209122,$500-750M
4,19.395110567409777,264965600.849547,369.1559459023273,1.0113861531570612,-0.09590030890983402,0.4354864676721134,0.3612398925967818,4.814903885011606,1.108360869762765,<$400M
5,19.267642764579872,233254983.8799045,301.9524588418039,0.8272670105254901,-0.22336811173973875,-3.951709284524597,-4.135739844852564,-8.604563328121527,0.10049121469061578,<$400M
6,19.128768673561225,203010583.99660245,317.50378521257744,0.8698733841440478,-0.36224220275838365,1.3600984263408433,-0.23933395032910157,0.8541543143203931,0.19925996492686876,<$400M
7,19.752554328071163,378813413.0890023,512.7405562936445,1.404768647379848,0.26154345175155236,7.008405015767988,5.171307940035337,6.903666391386491,0.6697741892444676,<$400M
8,19.327865682201868,247733884.6412116,323.8952666212497,0.8873842921130128,-0.16314519411774356,2.971790392151628,1.078792973620048,4.98364223928257,0.34202743485497916,<$400M
9,19.949400615113923,461226874.3326478,309.32229157316897,0.8474583330771752,0.45838973879431183,-2.4114459253315954,-1.8908263620080916,-4.778161808255003,0.6209323093269354,$400-500M
10,19.982333867298507,476669466.97162473,391.87476377923315,1.0736294898061183,0.4913229909788963,1.5857651038292633,0.04534365178939925,-1.0279954790992014,-1.9163881369837181,$400-500M
11,19.634473042836497,336622621.32878643,312.26336911675793,0.8555160797719396,0.14346216651688623,-0.3579752535244963,-1.1647486668995635,-0.44813009287674327,-1.204129339411651,<$400M
12,19.33503268115795,249515770.89494306,315.45016306470575,0.8642470220950842,-0.15597819516165914,-1.1957399752751987,-1.6752522102157466,-1.5416665684158275,-0.9048369656425492,<$400M
13,19.044910898513905,186680825.0281123,323.19183326503867,0.8854570774384621,-0.4460999778057047,0.7371857491379358,-1.031801822295151,0.8610048310489637,1.8356836050261265,<$400M
14,19.019154007394768,181933902.75360397,355.90551854957863,0.975083612464599,-0.47185686892484047,1.8495576662836477,1.3185366588144656,2.90335901985641,0.771007254318612,<$400M
15,19.991452857582345,481036090.5493324,358.3704387509583,0.9818368184957761,0.5004419812627342,-0.7630753367730714,-0.8424227497937051,-5.12093258869179,0.05297937100583325,$400-500M
16,19.98442502020878,477667298.66042,342.87549194093714,0.9393849094272251,0.49341414388916655,1.6528445122695163,0.05247843924376294,-3.8798913560771355,-0.6997903193482671,$400-500M
17,18.989635370579986,176641951.7992292,337.776374026569,0.9254147233604629,-0.5013755057396245,4.638794529603192,2.401609555739774,2.7184229977730343,1.1382838421274895,<$400M
18,18.074172398557295,70715291.77921717,288.8580297541502,0.7913918623401376,-1.4168384777623144,-1.9315516467164002,-1.7171849055027382,-1.1145216639457693,-1.3040072342099485,<$400M
19,19.780223967061886,389441401.7133108,300.0405030450918,0.8220287754660048,0.28921309074227425,3.062328484322439,1.1250139181047747,-1.248470672345083,-0.3967845947388176,<$400M
20,19.636672163249013,337363709.5791482,343.72910340107495,0.9417235709618492,0.1456612869294025,-2.1913232955410544,-3.080912357303892,-3.382932315941744,-1.2647835114456987,<$400M
21,20.013565565169458,491791579.1887696,321.6148686033714,0.8811366263106066,0.5225546888498456,-0.7576884809237605,0.27890714721696197,-3.7578986991622862,-0.6003890955261011,$400-500M
22,19.852469286033916,418617965.8844986,333.5184174945328,0.9137490890261173,0.3614584097143038,6.880389565675738,3.1747470905847384,4.426709761277664,-0.440437676471401,$400-500M
23,19.65882692670796,344921332.3111092,343.6111109948467,0.9414003040954704,0.16781605038834846,-0.8427431893697782,0.40400645951579306,5.576606440358364,-0.871075358522299,<$400M
24,20.657368533217625,936227006.3773818,426.1256476495608,1.167467527807016,1.166357656898013,2.6249136492110168,2.664048772315407,2.2370505602602258,0.9892883371451661,$750M-1B
25,19.682048985068704,353024841.5444516,398.7451974907933,1.0924525958651872,0.1910381087490913,-1.1446495519721704,-0.2833942435066757,-1.609695533439166,-0.7383739970981756,<$400M
26,20.138115510208056,557022120.1995087,327.9509457733822,0.8984957418448828,0.6471046338884447,1.7547937683330197,2.7353646589750658,-1.0931452735003315,1.994037689173037,$500-750M
27,19.595227698383525,323667624.9790688,324.9243684435463,0.8902037491604009,0.1042168220639146,-3.6959811477723834,-2.5557621388195564,-4.2173169128796175,-0.7848204172896608,<$400M
28,19.175814881038217,212789693.41065213,296.5233308020754,0.8123926871289737,-0.3151959952813939,-2.4047257754801485,-3.5172339548001563,-0.037782465917034935,-0.4169682291688847,<$400M
29,19.68352219771757,353545305.48927903,332.09996980297143,0.909862930967045,0.19251132139795898,0.8558646523867448,-0.6443175756700339,-0.7761324272802099,0.8372782834124126,<$400M
30,19.214085304560815,221091080.72580585,357.0585168681005,0.9782425119673988,-0.2769255717587962,3.0236605066820736,3.047898529153432,3.1124395527616957,0.778897190476914,<$400M
